_id	AnnoS	AteneoCOD	AteneoNOME	ClasseNUMERO	CorsoNOME	SedeC	SedeP	Sesso	Lau
14765	2019	1508	Milano San Raffaele	L/SNT3	Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale)	MILANO	15	F	25
14766	2019	1509	Milano Bicocca	LM-17	Fisica	MILANO	15	F	25
14767	2019	1509	Milano Bicocca	L-41	Statistica e Gestione delle Informazioni	MILANO	15	M	25
14768	2019	1509	Milano Bicocca	LM-75	Scienze e Tecnologie per l'Ambiente e il Territorio	MILANO	15	F	25
14769	2019	1509	Milano Bicocca	LM-51	Psicologia dei Processi Sociali, Decisionali e dei Comportamenti Economici	MILANO	15	M	25
14770	2019	1509	Milano Bicocca	LM-54	Scienze e Tecnologie Chimiche	MILANO	15	F	25
14771	2019	1509	Milano Bicocca	LM-57	Formazione e Sviluppo delle Risorse Umane	MILANO	15	M	25
14772	2019	1701	Brescia	L-22	Scienze Motorie	BRESCIA	17	F	25
14773	2019	2701	Venezia Cà Foscari	L-32	Scienze Ambientali	VENEZIA	27	F	25
14774	2019	2701	Venezia Cà Foscari	L-32	Scienze Ambientali	VENEZIA	27	M	25
14775	2019	2301	Verona	L-24	Scienze della Formazione nelle Organizzazioni	VERONA	23	M	25
14776	2019	1801	Pavia	LM-77	International Business And Entrepreneurship - Management Internazionale e Imprenditorialità	PAVIA	18	M	25
14777	2019	1801	Pavia	LM-32	Computer Engineering	PAVIA	18	M	25
14778	2019	2701	Venezia Cà Foscari	LM-52	Relazioni Internazionali Comparate	VENEZIA	27	M	25
14779	2019	2801	Padova	L-24	Scienze Psicologiche dello Sviluppo e dell'Educazione	PADOVA	28	F	25
14780	2019	2801	Padova	LM-51	Psicologia di Comunita	PADOVA	28	F	25
14781	2018	9201	Cagliari	L-20	Lingue e Comunicazione	CAGLIARI	92	M	25
14782	2018	9201	Cagliari	L-22	Scienze delle Attività Motorie e Sportive	CAGLIARI	92	M	25
14783	2018	9001	Sassari	L-17	Scienze dell'Architettura e del Progetto	ALGHERO	90	F	25
14784	2018	8701	Catania	LM-65	Comunicazione della Cultura e dello Spettacolo	CATANIA	87	F	25
14785	2019	101	Torino	LM-92	Comunicazione e Culture dei Media	TORINO	1	F	25
14786	2019	102	Torino Politecnico	LM-25	Mechatronic Engineering (Ingegneria Meccatronica)	TORINO	1	F	25
14787	2019	101	Torino	LM-42	Medicina Veterinaria	GRUGLIASCO	1	M	25
14788	2019	101	Torino	LM-67	Scienze dell'Educazione Motoria e delle Attivita Adattate	TORINO	1	F	25
14789	2019	101	Torino	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	ASTI	5	F	25
14790	2019	101	Torino	LM-17	Fisica dei Sistemi Complessi	TORINO	1	M	25
14791	2019	201	Piemonte Orientale	LMG/01	Giurisprudenza	ALESSANDRIA	6	M	25
14792	2019	102	Torino Politecnico	LM-33	Ingegneria della Produzione Industriale e dell'Innovazione Tecnologica	TORINO	1	F	25
14793	2019	102	Torino Politecnico	LM-48	Pianificazione Territoriale, Urbanistica e Paesaggistico-Ambientale	TORINO	1	M	25
14794	2019	1001	Genova	L-04	Design del Prodotto e della Nautica	GENOVA	10	M	25
